r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
8.371356129646301270e-01,8.371356129646301270e-01,4.388859570026397705e-01,5.315348505973815918e-01,6.467391490936279297e+00,7.599999904632568359e+00,0.000000000000000000e+00,8.780000000000000000e+02,9.000000000000000000e+00,8.780000000000000000e+02,9.000000000000000000e+00,7.931586503982543945e-01,7.065275907516479492e-01,9.079999923706054688e-01,0.000000000000000000e+00,4.697537422180175781e-01,8.357594490051269531e+00
8.371356129646301270e-01,5.058600306510925293e-01,4.309062957763671875e-01,4.808463454246520996e-01,6.311828136444091797e+00,5.400000095367431641e+00,0.000000000000000000e+00,8.700000000000000000e+02,8.000000000000000000e+00,8.160000000000000000e+02,6.000000000000000000e+00,7.932569384574890137e-01,7.048048973083496094e-01,9.070000052452087402e-01,0.000000000000000000e+00,4.524444639682769775e-01,1.309000205993652344e+01
8.371356129646301270e-01,4.824174642562866211e-01,4.268021583557128906e-01,4.492269754409790039e-01,6.926829338073730469e+00,9.000000000000000000e+00,0.000000000000000000e+00,8.760000000000000000e+02,1.100000000000000000e+01,8.200000000000000000e+02,7.000000000000000000e+00,7.932943701744079590e-01,7.201781272888183594e-01,9.179999828338623047e-01,0.000000000000000000e+00,4.336150884628295898e-01,1.799812889099121094e+01
8.371356129646301270e-01,5.065610408782958984e-01,4.317783117294311523e-01,4.942174255847930908e-01,6.366336822509765625e+00,6.300000190734863281e+00,0.000000000000000000e+00,8.650000000000000000e+02,6.000000000000000000e+00,7.940000000000000000e+02,4.000000000000000000e+00,7.933354973793029785e-01,7.046288847923278809e-01,8.989999890327453613e-01,0.000000000000000000e+00,4.595392644405364990e-01,2.244699287414550781e+01
9.190164208412170410e-01,9.190164208412170410e-01,4.367989599704742432e-01,5.275133848190307617e-01,6.869565010070800781e+00,8.100000381469726562e+00,0.000000000000000000e+00,8.740000000000000000e+02,1.000000000000000000e+01,7.950000000000000000e+02,6.000000000000000000e+00,7.922359108924865723e-01,7.082276344299316406e-01,9.079999923706054688e-01,0.000000000000000000e+00,4.510857164859771729e-01,2.705559921264648438e+01
9.190164208412170410e-01,5.180639624595642090e-01,4.304324388504028320e-01,4.909885227680206299e-01,6.720720767974853516e+00,6.800000190734863281e+00,0.000000000000000000e+00,8.540000000000000000e+02,8.000000000000000000e+00,7.700000000000000000e+02,6.000000000000000000e+00,7.902703881263732910e-01,6.872870326042175293e-01,8.889999985694885254e-01,0.000000000000000000e+00,4.565701484680175781e-01,3.165422248840332031e+01
9.190164208412170410e-01,5.180639624595642090e-01,4.334473907947540283e-01,4.907146096229553223e-01,6.428571224212646484e+00,6.400000095367431641e+00,0.000000000000000000e+00,8.590000000000000000e+02,9.000000000000000000e+00,7.720000000000000000e+02,5.000000000000000000e+00,7.889922261238098145e-01,6.978241205215454102e-01,9.020000100135803223e-01,0.000000000000000000e+00,4.646402299404144287e-01,3.659829330444335938e+01
9.190164208412170410e-01,5.180639624595642090e-01,4.343062937259674072e-01,5.038688778877258301e-01,7.616000175476074219e+00,6.599999904632568359e+00,0.000000000000000000e+00,8.640000000000000000e+02,7.000000000000000000e+00,7.660000000000000000e+02,5.000000000000000000e+00,7.854274511337280273e-01,6.831827163696289062e-01,8.750000000000000000e-01,0.000000000000000000e+00,4.950000047683715820e-01,4.137263107299804688e+01
9.190164208412170410e-01,5.385312438011169434e-01,4.367532134056091309e-01,5.063883662223815918e-01,6.284553050994873047e+00,5.500000000000000000e+00,0.000000000000000000e+00,8.710000000000000000e+02,6.000000000000000000e+00,7.490000000000000000e+02,3.000000000000000000e+00,7.815088629722595215e-01,6.881521344184875488e-01,8.769999742507934570e-01,0.000000000000000000e+00,4.947743713855743408e-01,4.618291473388671875e+01
9.190164208412170410e-01,8.545435667037963867e-01,4.393497705459594727e-01,5.396413803100585938e-01,6.798319339752197266e+00,8.199999809265136719e+00,0.000000000000000000e+00,8.350000000000000000e+02,7.000000000000000000e+00,7.340000000000000000e+02,6.000000000000000000e+00,7.741361260414123535e-01,6.889944672584533691e-01,8.809999823570251465e-01,0.000000000000000000e+00,4.950000047683715820e-01,5.108305358886718750e+01
9.190164208412170410e-01,5.400063395500183105e-01,4.337923526763916016e-01,5.072342753410339355e-01,7.055555343627929688e+00,9.399999618530273438e+00,0.000000000000000000e+00,8.490000000000000000e+02,8.000000000000000000e+00,7.270000000000000000e+02,6.000000000000000000e+00,7.623209953308105469e-01,6.616950035095214844e-01,8.740000128746032715e-01,0.000000000000000000e+00,4.883366227149963379e-01,5.607405090332031250e+01
9.190164208412170410e-01,8.884467482566833496e-01,4.371286630630493164e-01,5.417969226837158203e-01,7.340136051177978516e+00,6.636363506317138672e+00,0.000000000000000000e+00,8.360000000000000000e+02,9.000000000000000000e+00,7.140000000000000000e+02,6.000000000000000000e+00,7.426625490188598633e-01,6.519083380699157715e-01,8.529999852180480957e-01,0.000000000000000000e+00,4.950000047683715820e-01,6.088433456420898438e+01
9.190164208412170410e-01,5.225095748901367188e-01,4.377205967903137207e-01,5.099657773971557617e-01,7.229166507720947266e+00,4.800000190734863281e+00,0.000000000000000000e+00,8.320000000000000000e+02,3.000000000000000000e+00,7.000000000000000000e+02,1.000000000000000000e+00,7.007187008857727051e-01,6.058493256568908691e-01,8.560000061988830566e-01,0.000000000000000000e+00,5.058600306510925293e-01,6.579245758056640625e+01
9.190164208412170410e-01,8.728386163711547852e-01,4.400058686733245850e-01,5.684635639190673828e-01,7.737931251525878906e+00,9.000000000000000000e+00,0.000000000000000000e+00,8.340000000000000000e+02,9.000000000000000000e+00,7.020000000000000000e+02,6.000000000000000000e+00,6.401239633560180664e-01,5.497656464576721191e-01,8.550000190734863281e-01,0.000000000000000000e+00,5.058600306510925293e-01,7.065865325927734375e+01
9.190164208412170410e-01,8.815292716026306152e-01,4.385886490345001221e-01,5.831853747367858887e-01,7.465240478515625000e+00,9.300000190734863281e+00,0.000000000000000000e+00,8.220000000000000000e+02,8.000000000000000000e+00,6.650000000000000000e+02,4.000000000000000000e+00,5.245501399040222168e-01,4.384116828441619873e-01,8.130000233650207520e-01,0.000000000000000000e+00,4.950000047683715820e-01,7.570355987548828125e+01
9.190164208412170410e-01,8.718417882919311523e-01,4.431408941745758057e-01,5.885171890258789062e-01,7.441441535949707031e+00,9.375000000000000000e+00,0.000000000000000000e+00,7.910000000000000000e+02,1.000000000000000000e+01,6.480000000000000000e+02,8.000000000000000000e+00,3.440638184547424316e-01,2.572685778141021729e-01,7.779999971389770508e-01,0.000000000000000000e+00,5.058600306510925293e-01,8.099707031250000000e+01
9.190164208412170410e-01,8.547431826591491699e-01,4.407538771629333496e-01,5.486518740653991699e-01,7.796875000000000000e+00,8.133333206176757812e+00,0.000000000000000000e+00,7.770000000000000000e+02,9.000000000000000000e+00,6.120000000000000000e+02,7.000000000000000000e+00,2.507633566856384277e-01,1.905676126480102539e-01,7.440000176429748535e-01,0.000000000000000000e+00,5.058600306510925293e-01,8.600803375244140625e+01
9.492543339729309082e-01,9.492543339729309082e-01,4.429887831211090088e-01,6.044928431510925293e-01,8.020408630371093750e+00,8.692307472229003906e+00,0.000000000000000000e+00,7.930000000000000000e+02,9.000000000000000000e+00,6.430000000000000000e+02,7.000000000000000000e+00,1.778812557458877563e-01,1.236480325460433960e-01,7.549999952316284180e-01,0.000000000000000000e+00,5.058600306510925293e-01,9.139239501953125000e+01
9.492543339729309082e-01,8.815292716026306152e-01,4.396420121192932129e-01,5.724973678588867188e-01,8.197026252746582031e+00,9.692307472229003906e+00,0.000000000000000000e+00,7.880000000000000000e+02,1.100000000000000000e+01,6.250000000000000000e+02,9.000000000000000000e+00,1.608522981405258179e-01,1.168714612722396851e-01,7.310000061988830566e-01,0.000000000000000000e+00,5.058600306510925293e-01,9.652416229248046875e+01
9.492543339729309082e-01,8.935646414756774902e-01,4.463254213333129883e-01,6.369786262512207031e-01,8.137404441833496094e+00,1.139999961853027344e+01,0.000000000000000000e+00,7.830000000000000000e+02,1.000000000000000000e+01,6.170000000000000000e+02,1.000000000000000000e+01,1.388858109712600708e-01,9.372657537460327148e-02,7.379999756813049316e-01,0.000000000000000000e+00,5.077100396156311035e-01,1.016479415893554688e+02
9.492543339729309082e-01,9.043508172035217285e-01,4.466500878334045410e-01,7.047432661056518555e-01,8.958621025085449219e+00,1.430000019073486328e+01,0.000000000000000000e+00,7.800000000000000000e+02,1.000000000000000000e+01,6.080000000000000000e+02,1.000000000000000000e+01,1.178705617785453796e-01,8.539876341819763184e-02,7.099999785423278809e-01,0.000000000000000000e+00,5.405544638633728027e-01,1.066798706054687500e+02
