r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
8.852263689041137695e-01,8.852263689041137695e-01,4.435898661613464355e-01,5.404150485992431641e-01,6.467391490936279297e+00,7.599999904632568359e+00,0.000000000000000000e+00,8.780000000000000000e+02,9.000000000000000000e+00,8.780000000000000000e+02,9.000000000000000000e+00,7.931586503982543945e-01,7.065275907516479492e-01,9.079999923706054688e-01,0.000000000000000000e+00,4.740242362022399902e-01,7.980202674865722656e+00
8.852263689041137695e-01,5.104587674140930176e-01,4.348927140235900879e-01,4.864009916782379150e-01,6.361701965332031250e+00,6.800000190734863281e+00,0.000000000000000000e+00,8.700000000000000000e+02,8.000000000000000000e+00,8.160000000000000000e+02,7.000000000000000000e+00,7.932740449905395508e-01,6.991468667984008789e-01,9.060000181198120117e-01,0.000000000000000000e+00,4.639741480350494385e-01,1.249895095825195312e+01
8.852263689041137695e-01,4.868030548095703125e-01,4.307291507720947266e-01,4.533108472824096680e-01,6.926829338073730469e+00,9.000000000000000000e+00,0.000000000000000000e+00,8.760000000000000000e+02,1.100000000000000000e+01,8.190000000000000000e+02,7.000000000000000000e+00,7.933120131492614746e-01,7.203011512756347656e-01,9.179999828338623047e-01,0.000000000000000000e+00,4.375570416450500488e-01,1.741306686401367188e+01
8.852263689041137695e-01,5.111661553382873535e-01,4.357962906360626221e-01,4.996022284030914307e-01,6.372549057006835938e+00,6.300000190734863281e+00,0.000000000000000000e+00,8.650000000000000000e+02,6.000000000000000000e+00,7.930000000000000000e+02,4.000000000000000000e+00,7.933530211448669434e-01,7.047075033187866211e-01,8.980000019073486328e-01,0.000000000000000000e+00,4.674245417118072510e-01,2.191384696960449219e+01
9.445973038673400879e-01,9.445973038673400879e-01,4.399760365486145020e-01,5.272008180618286133e-01,6.733333110809326172e+00,8.300000190734863281e+00,0.000000000000000000e+00,8.740000000000000000e+02,1.000000000000000000e+01,7.960000000000000000e+02,6.000000000000000000e+00,7.922584414482116699e-01,7.023233175277709961e-01,9.100000262260437012e-01,0.000000000000000000e+00,4.551178216934204102e-01,2.664725494384765625e+01
9.445973038673400879e-01,5.227736234664916992e-01,4.346860945224761963e-01,4.976283311843872070e-01,6.720720767974853516e+00,8.300000190734863281e+00,0.000000000000000000e+00,8.560000000000000000e+02,8.000000000000000000e+00,7.730000000000000000e+02,6.000000000000000000e+00,7.902119755744934082e-01,6.880497336387634277e-01,8.889999985694885254e-01,0.000000000000000000e+00,4.691013097763061523e-01,3.125386428833007812e+01
9.445973038673400879e-01,5.227736234664916992e-01,4.376044869422912598e-01,4.967099130153656006e-01,6.454545497894287109e+00,6.300000190734863281e+00,0.000000000000000000e+00,8.590000000000000000e+02,9.000000000000000000e+00,7.720000000000000000e+02,5.000000000000000000e+00,7.888383865356445312e-01,7.003476619720458984e-01,9.010000228881835938e-01,0.000000000000000000e+00,4.709991812705993652e-01,3.598727035522460938e+01
9.445973038673400879e-01,5.227736234664916992e-01,4.386878013610839844e-01,5.084515810012817383e-01,7.447154521942138672e+00,7.699999809265136719e+00,0.000000000000000000e+00,8.640000000000000000e+02,7.000000000000000000e+00,7.650000000000000000e+02,5.000000000000000000e+00,7.852936983108520508e-01,6.830123662948608398e-01,8.769999742507934570e-01,0.000000000000000000e+00,4.995000064373016357e-01,4.085646057128906250e+01
9.445973038673400879e-01,5.484226346015930176e-01,4.409137070178985596e-01,5.128112435340881348e-01,6.262295246124267578e+00,6.000000000000000000e+00,0.000000000000000000e+00,8.690000000000000000e+02,6.000000000000000000e+00,7.480000000000000000e+02,4.000000000000000000e+00,7.814884185791015625e-01,6.887838840484619141e-01,8.780000209808349609e-01,0.000000000000000000e+00,5.034612417221069336e-01,4.561981964111328125e+01
9.445973038673400879e-01,8.950219750404357910e-01,4.440995454788208008e-01,5.485261678695678711e-01,6.853448390960693359e+00,8.100000381469726562e+00,0.000000000000000000e+00,8.360000000000000000e+02,7.000000000000000000e+00,7.330000000000000000e+02,6.000000000000000000e+00,7.742508053779602051e-01,6.932830810546875000e-01,8.840000033378601074e-01,0.000000000000000000e+00,4.995000064373016357e-01,5.038317871093750000e+01
9.445973038673400879e-01,5.550374388694763184e-01,4.371951818466186523e-01,5.062391757965087891e-01,6.768595218658447266e+00,8.500000000000000000e+00,0.000000000000000000e+00,8.490000000000000000e+02,8.000000000000000000e+00,7.270000000000000000e+02,5.000000000000000000e+00,7.629712224006652832e-01,6.654493212699890137e-01,8.790000081062316895e-01,0.000000000000000000e+00,4.664269089698791504e-01,5.548299789428710938e+01
9.445973038673400879e-01,9.217634797096252441e-01,4.417689442634582520e-01,5.498975515365600586e-01,7.356164455413818359e+00,6.636363506317138672e+00,0.000000000000000000e+00,8.390000000000000000e+02,9.000000000000000000e+00,7.160000000000000000e+02,6.000000000000000000e+00,7.438534498214721680e-01,6.540783047676086426e-01,8.539999723434448242e-01,0.000000000000000000e+00,4.995000064373016357e-01,6.019543838500976562e+01
9.445973038673400879e-01,5.321066379547119141e-01,4.423387348651885986e-01,5.150329470634460449e-01,7.021739006042480469e+00,6.199999809265136719e+00,0.000000000000000000e+00,8.310000000000000000e+02,4.000000000000000000e+00,7.020000000000000000e+02,2.000000000000000000e+00,7.035953998565673828e-01,6.072590351104736328e-01,8.619999885559082031e-01,0.000000000000000000e+00,5.099227428436279297e-01,6.489989471435546875e+01
