r,count_on_policy,count_off_policy,expression,traversal,nmse_test,success
,1,0,"inf * n2_t(mul_t(u1,diff2_t(n3_t(mul_t(u1,n3_t(n2_t(n2_t(n3_t(mul_t(u1,x1))))))),x1)))","n2_t,mul_t,u1,diff2_t,n3_t,mul_t,u1,n3_t,n2_t,n2_t,n3_t,mul_t,u1,x1,x1",,False
0.9793826284398499,1,0,"9.977824211120605 * u1 + 0.0887691006064415 * x1 + 0.004603560548275709 * diff2_t(u1,x1) + -10.013505935668945 * mul_t(u1,u1)","sub_t,sub_t,u1,add_t,x1,diff2_t,u1,x1,mul_t,u1,u1",0.00021467038,True
0.9793826284398499,1,0,"9.977824211120605 * u1 + 0.0887691006064415 * x1 + 0.004603560548275709 * diff2_t(u1,x1) + -10.013505935668945 * mul_t(u1,u1)","add_t,u1,add_t,sub_t,x1,diff2_t,u1,x1,mul_t,u1,u1",0.00021467038,True
0.9793826266460435,1,0,"0.004603560548275709 * diff2_t(u1,x1) + 0.0887691006064415 * x1 + 9.977824211120605 * u1 + -10.013505935668945 * n2_t(u1)","add_t,add_t,sub_t,diff2_t,u1,x1,x1,u1,n2_t,u1",0.00021467044,True
0.979382624852237,1,0,"9.977824211120605 * u1 + 0.0046035596169531345 * diff2_t(u1,x1) + 0.0887691006064415 * x1 + -1.1126117706298828 * n2_t(add_t(add_t(u1,u1),u1))","add_t,sub_t,sub_t,u1,diff2_t,u1,x1,x1,n2_t,add_t,add_t,u1,u1,u1",0.00021467046,True
0.9783993125478421,1,0,"4.988912105560303 * u1 + 4.988912105560303 * u1 + 0.004603560548275709 * diff2_t(u1,x1) + -10.013505935668945 * n2_t(u1) + 0.0887691006064415 * x1","add_t,sub_t,u1,add_t,add_t,u1,diff2_t,u1,x1,n2_t,u1,x1",0.0002146704,True
0.9783993107558366,1,0,"4.988912105560303 * u1 + 0.0887691006064415 * x1 + 0.004603560548275709 * diff2_t(u1,x1) + 4.988912105560303 * u1 + -5.006752967834473 * mul_t(add_t(add_t(u1,u1),sub_t(u1,u1)),u1)","sub_t,add_t,add_t,u1,add_t,x1,diff2_t,u1,x1,u1,mul_t,add_t,add_t,u1,u1,sub_t,u1,u1,u1",0.00021467044,True
0.9774735998778257,1,0,"-0.07865241169929504 * n3_t(u1) + 0.004779047332704067 * diff2_t(u1,x1) + 0.08866602927446365 * x1 + -1.980443000793457 * mul_t(u1,u1) + 9.94382095336914 * u1 + -3.960886001586914 * mul_t(u1,add_t(u1,u1))","sub_t,add_t,add_t,n3_t,u1,diff2_t,u1,x1,x1,add_t,add_t,mul_t,u1,u1,u1,mul_t,u1,add_t,u1,u1",0.00021315654,True
0.9774735998778257,1,0,"-0.07865241169929504 * n3_t(u1) + 0.08866602927446365 * x1 + 0.004779047332704067 * diff2_t(u1,x1) + 4.97191047668457 * u1 + -9.902215003967285 * n2_t(u1) + 4.97191047668457 * u1","sub_t,sub_t,sub_t,n3_t,u1,add_t,add_t,x1,diff2_t,u1,x1,u1,n2_t,u1,u1",0.00021315656,True
0.9774159966558341,1,0,"0.04438455030322075 * x1 + 4.988912105560303 * u1 + -10.013505935668945 * n2_t(u1) + 0.004603560548275709 * diff2_t(u1,x1) + 0.04438455030322075 * x1 + 4.988912105560303 * u1","add_t,add_t,x1,u1,add_t,n2_t,u1,sub_t,add_t,diff2_t,u1,x1,x1,u1",0.00021467038,True
0.9764902260348902,1,0,"0.004779047332704067 * diff2_t(u1,x1) + -0.07865241169929504 * n3_t(u1) + -9.902215003967285 * n2_t(u1) + 3.3146071434020996 * u1 + 3.3146071434020996 * u1 + 3.3146071434020996 * u1 + 0.08866602927446365 * x1","sub_t,sub_t,sub_t,add_t,diff2_t,u1,x1,add_t,n3_t,u1,n2_t,u1,u1,add_t,u1,u1,x1",0.00021315659,True
0.9764416800927528,1,0,"0.0004790533857885748 * diff_t(u1,x1) + 3.3259706497192383 * u1 + -10.013604164123535 * n2_t(u1) + 0.004603683482855558 * diff2_t(u1,x1) + 3.3259706497192383 * u1 + 3.3259706497192383 * u1 + 0.08949504047632217 * x1","add_t,add_t,diff_t,u1,x1,add_t,add_t,add_t,add_t,u1,n2_t,u1,diff2_t,u1,x1,u1,u1,x1",0.0002144333,True
0.9764326825522297,1,0,"3.325941562652588 * u1 + -0.5890297889709473 * n2_t(u1) + 3.325941562652588 * u1 + 0.004603560548275709 * diff2_t(u1,x1) + -2.356119155883789 * n2_t(add_t(u1,u1)) + 0.0887691006064415 * x1 + 3.325941562652588 * u1","add_t,add_t,u1,n2_t,u1,add_t,add_t,u1,add_t,add_t,diff2_t,u1,x1,n2_t,add_t,u1,u1,x1,u1",0.00021467036,True
0.9754493648718184,1,0,"3.325941562652588 * u1 + 0.0295897014439106 * x1 + 0.0295897014439106 * x1 + -10.013505935668945 * n2_t(u1) + 0.0295897014439106 * x1 + 0.004603560548275709 * diff2_t(u1,x1) + 3.325941562652588 * u1 + 3.325941562652588 * u1","sub_t,sub_t,add_t,add_t,u1,x1,add_t,add_t,x1,n2_t,u1,sub_t,x1,diff2_t,u1,x1,u1,u1",0.0002146704,True
0.9744668896219923,1,0,"1.9953176975250244 * u1 + 0.004594526719301939 * diff2_t(u1,x1) + -10.012556076049805 * n2_t(u1) + 0.08876240998506546 * x1 + 1.9953176975250244 * u1 + 1.9953176975250244 * u1 + 0.0002878804225474596 * div_t(u1,u1) + 1.9953176975250244 * u1 + 1.9953176975250244 * u1","add_t,add_t,sub_t,u1,diff2_t,u1,x1,n2_t,u1,add_t,add_t,x1,u1,add_t,add_t,u1,add_t,div_t,u1,u1,u1,u1",0.00021464819,True
0.9664110545328509,1,0,"-10.085000038146973 * n2_t(u1) + 0.008483241312205791 * mul_t(diff2_t(u1,x1),u1) + 0.08862905204296112 * x1 + 5.02731466293335 * u1 + 5.02731466293335 * u1","sub_t,add_t,n2_t,u1,mul_t,diff2_t,u1,x1,u1,add_t,x1,add_t,u1,u1",0.0006525665,False
