r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
9.629169702529907227e-01,9.629169702529907227e-01,4.630495607852935791e-01,9.467887282371520996e-01,8.538461685180664062e+00,1.760000038146972656e+01,0.000000000000000000e+00,8.420000000000000000e+02,1.000000000000000000e+01,8.420000000000000000e+02,1.000000000000000000e+01,2.096884548664093018e-01,1.468872427940368652e-01,5.189999938011169434e-01,0.000000000000000000e+00,9.335161447525024414e-01,1.325673294067382812e+01
9.629169702529907227e-01,9.613592028617858887e-01,4.693838655948638916e-01,9.445875883102416992e-01,8.974575996398925781e+00,1.639999961853027344e+01,0.000000000000000000e+00,8.370000000000000000e+02,1.000000000000000000e+01,7.800000000000000000e+02,1.000000000000000000e+01,2.025494277477264404e-01,1.412042975425720215e-01,5.279999971389770508e-01,0.000000000000000000e+00,9.315389394760131836e-01,2.592641067504882812e+01
9.783993363380432129e-01,9.783993363380432129e-01,4.694804549217224121e-01,9.589645266532897949e-01,8.685770988464355469e+00,1.600000000000000000e+01,0.000000000000000000e+00,8.300000000000000000e+02,1.000000000000000000e+01,7.530000000000000000e+02,1.000000000000000000e+01,1.971306651830673218e-01,1.280804574489593506e-01,4.939999878406524658e-01,0.000000000000000000e+00,9.468878507614135742e-01,3.941776657104492188e+01
9.783993363380432129e-01,9.629942178726196289e-01,4.606999456882476807e-01,9.525045156478881836e-01,8.466934204101562500e+00,1.430000019073486328e+01,0.000000000000000000e+00,8.320000000000000000e+02,1.000000000000000000e+01,7.340000000000000000e+02,1.000000000000000000e+01,1.953646987676620483e-01,1.291877925395965576e-01,5.009999871253967285e-01,0.000000000000000000e+00,9.343963861465454102e-01,5.174499130249023438e+01
9.783993363380432129e-01,9.764901995658874512e-01,4.627546370029449463e-01,9.506044983863830566e-01,8.612774848937988281e+00,1.650000000000000000e+01,0.000000000000000000e+00,8.480000000000000000e+02,1.000000000000000000e+01,7.470000000000000000e+02,1.000000000000000000e+01,1.877326816320419312e-01,1.247969642281532288e-01,4.990000128746032715e-01,0.000000000000000000e+00,9.354856610298156738e-01,6.335437011718750000e+01
9.783993363380432129e-01,9.629169702529907227e-01,4.687042236328125000e-01,9.472277164459228516e-01,8.792899131774902344e+00,1.710000038146972656e+01,0.000000000000000000e+00,8.280000000000000000e+02,1.000000000000000000e+01,7.290000000000000000e+02,1.000000000000000000e+01,1.782220602035522461e-01,1.190988495945930481e-01,4.930000007152557373e-01,0.000000000000000000e+00,9.365812540054321289e-01,7.622172546386718750e+01
9.793826341629028320e-01,9.793826341629028320e-01,4.694853425025939941e-01,9.594637751579284668e-01,8.638339996337890625e+00,1.581818199157714844e+01,0.000000000000000000e+00,8.300000000000000000e+02,1.100000000000000000e+01,7.240000000000000000e+02,1.100000000000000000e+01,1.734921038150787354e-01,1.248898059129714966e-01,4.939999878406524658e-01,0.000000000000000000e+00,9.516749382019042969e-01,8.788201904296875000e+01
9.793826341629028320e-01,9.632614850997924805e-01,4.689807295799255371e-01,9.540244936943054199e-01,8.366803169250488281e+00,1.500000000000000000e+01,0.000000000000000000e+00,8.250000000000000000e+02,1.000000000000000000e+01,6.950000000000000000e+02,1.000000000000000000e+01,1.666819453239440918e-01,1.099628135561943054e-01,5.120000243186950684e-01,0.000000000000000000e+00,9.423371553421020508e-01,9.979391479492187500e+01
9.793826341629028320e-01,9.793826341629028320e-01,4.617211520671844482e-01,9.529547095298767090e-01,8.597249984741210938e+00,1.700000000000000000e+01,0.000000000000000000e+00,8.210000000000000000e+02,1.000000000000000000e+01,7.040000000000000000e+02,1.000000000000000000e+01,1.637547463178634644e-01,1.212025731801986694e-01,4.909999966621398926e-01,0.000000000000000000e+00,9.362158775329589844e-01,1.115400695800781250e+02
9.793826341629028320e-01,9.609814286231994629e-01,4.664172232151031494e-01,9.504942893981933594e-01,8.321223258972167969e+00,1.280000019073486328e+01,0.000000000000000000e+00,8.130000000000000000e+02,1.000000000000000000e+01,6.860000000000000000e+02,9.000000000000000000e+00,1.627798080444335938e-01,1.056116819381713867e-01,4.760000109672546387e-01,0.000000000000000000e+00,9.373660087585449219e-01,1.231204986572265625e+02
