r,count_on_policy,count_off_policy,expression,traversal,nmse_test,success
0.9509641240950942,1,0,"0.08865388482809067 * x1 + 0.29814833402633667 * n3_t(sub_t(add_t(u1,n3_t(u1)),u1)) + 3.4198641777038574 * u1 + 3.4198641777038574 * u1 + -10.5553617477417 * n2_t(u1) + 3.4198641777038574 * u1","add_t,add_t,sub_t,x1,sub_t,n3_t,sub_t,add_t,u1,n3_t,u1,u1,u1,u1,add_t,n2_t,u1,u1",0.0015355411,False
0.9508525915228173,1,0,"-10.016611099243164 * n2_t(u1) + 4.990665912628174 * u1 + 4.990665912628174 * u1 + 0.142944797873497 * n3_t(x1) + 0.004709348548203707 * diff2_t(u1,x1)","add_t,sub_t,n2_t,u1,u1,sub_t,u1,sub_t,n3_t,x1,diff2_t,u1,x1",0.0016162646,False
0.950850391499003,1,0,"3.4443066120147705 * u1 + 0.41334810853004456 * n2_t(n3_t(u1)) + 3.4443066120147705 * u1 + -10.752995491027832 * mul_t(u1,u1) + 3.4443066120147705 * u1 + 0.08913054317235947 * x1","add_t,add_t,u1,n2_t,n3_t,u1,sub_t,u1,add_t,mul_t,u1,u1,add_t,u1,x1",0.0015440373,False
0.9508099692849982,1,0,"3.4142866134643555 * u1 + 0.2784801423549652 * mul_t(add_t(n3_t(n3_t(u1)),u1),u1) + -10.795230865478516 * n2_t(u1) + 3.4142866134643555 * u1 + 3.4142866134643555 * u1 + 0.08854106068611145 * x1","add_t,add_t,u1,sub_t,add_t,mul_t,add_t,n3_t,n3_t,u1,u1,u1,n2_t,u1,u1,add_t,u1,x1",0.0015470631,False
0.9506796205191524,1,0,"-11.133858680725098 * n2_t(u1) + 0.6875706911087036 * mul_t(u1,n3_t(u1)) + 0.08962766826152802 * x1 + -4.679256016970612e-05 * diff_t(u1,x1) + 10.430116653442383 * u1","sub_t,sub_t,n2_t,u1,sub_t,mul_t,u1,n3_t,u1,add_t,x1,diff_t,u1,x1,u1",0.0016295473,False
0.9504310451447373,1,0,10.530349731445312 * u1 + 0.09020168334245682 * x1 + 1.2731060981750488 * n3_t(u1) + -11.826068878173828 * n2_t(u1),"add_t,sub_t,u1,sub_t,x1,n3_t,u1,n2_t,u1",0.0017235556,False
0.9504310451447373,1,0,"10.530349731445312 * u1 + 0.09020168334245682 * x1 + 0.1591382622718811 * n3_t(sub_t(u1,sub_t(n2_t(sub_t(u1,u1)),u1))) + -11.826068878173828 * mul_t(u1,u1)","add_t,add_t,u1,x1,sub_t,n3_t,sub_t,u1,sub_t,n2_t,sub_t,u1,u1,u1,mul_t,u1,u1",0.0017235556,False
0.9504310451447373,1,0,0.09020168334245682 * x1 + -11.826068878173828 * n2_t(u1) + 1.2731060981750488 * n3_t(u1) + 10.530349731445312 * u1,"sub_t,sub_t,sub_t,x1,n2_t,u1,n3_t,u1,u1",0.0017235557,False
0.9504310417660966,1,0,"0.09020168334245682 * x1 + 10.530349731445312 * u1 + 1.2731060981750488 * mul_t(u1,add_t(u1,n2_t(u1))) + -13.099174499511719 * n2_t(u1)","sub_t,sub_t,x1,add_t,u1,mul_t,u1,add_t,u1,n2_t,u1,n2_t,u1",0.001723556,False
0.9502528981161089,1,0,-10.051461219787598 * n2_t(u1) + 3.395477056503296 * u1 + 0.6311264038085938 * n2_t(n3_t(u1)) + 0.08839921653270721 * x1 + -0.7671947479248047 * n3_t(u1) + 3.395477056503296 * u1 + 3.395477056503296 * u1,"sub_t,add_t,n2_t,u1,u1,add_t,add_t,sub_t,n2_t,n3_t,u1,x1,add_t,n3_t,u1,u1,u1",0.0015172716,False
0.9498988974863798,1,0,"10.628024101257324 * u1 + -12.025419235229492 * n2_t(u1) + -0.011219443753361702 * n3_t(div_t(u1,u1)) + 1.3874174356460571 * n3_t(sub_t(add_t(u1,u1),u1)) + 0.09065467119216919 * x1","sub_t,add_t,add_t,u1,n2_t,u1,add_t,n3_t,div_t,u1,u1,n3_t,sub_t,add_t,u1,u1,u1,x1",0.0016902385,False
0.949724163614108,1,0,"5.215058326721191 * u1 + 0.6875706911087036 * n2_t(n2_t(u1)) + 5.215058326721191 * u1 + -4.679262201534584e-05 * diff_t(u1,x1) + -11.133858680725098 * n2_t(u1) + 0.08962766826152802 * x1","sub_t,sub_t,u1,add_t,n2_t,n2_t,u1,u1,add_t,add_t,diff_t,u1,x1,n2_t,u1,x1",0.0016295474,False
0.9494767971074434,1,0,"-0.7391293048858643 * n2_t(add_t(add_t(add_t(u1,u1),u1),u1)) + 1.2731060981750488 * n3_t(u1) + 5.265174865722656 * u1 + 5.265174865722656 * u1 + 0.09020168334245682 * x1","sub_t,sub_t,add_t,n2_t,add_t,add_t,add_t,u1,u1,u1,u1,n3_t,u1,sub_t,u1,u1,x1",0.0017235558,False
0.9494767971074434,1,0,1.2731060981750488 * n3_t(u1) + -11.826068878173828 * n2_t(u1) + 0.09020168334245682 * x1 + 5.265174865722656 * u1 + 5.265174865722656 * u1,"sub_t,add_t,n3_t,u1,n2_t,u1,add_t,sub_t,x1,u1,u1",0.0017235557,False
0.9494767971074434,1,0,"0.6365530490875244 * n3_t(u1) + -11.826068878173828 * div_t(n3_t(u1),u1) + 0.6365530490875244 * n3_t(sub_t(u1,sub_t(u1,u1))) + 10.530349731445312 * u1 + 0.09020168334245682 * x1","sub_t,add_t,add_t,n3_t,u1,div_t,n3_t,u1,u1,add_t,n3_t,sub_t,u1,sub_t,u1,u1,u1,x1",0.0017235557,False
0.9494767937321948,1,0,"1.2731060981750488 * n3_t(u1) + 5.265174865722656 * u1 + 0.09020168334245682 * x1 + 5.265174865722656 * u1 + -11.826068878173828 * mul_t(u1,u1)","sub_t,sub_t,n3_t,u1,add_t,u1,x1,sub_t,u1,mul_t,u1,u1",0.001723556,False
0.9494243353815426,1,0,"2.5539209842681885 * u1 + 0.2502620220184326 * n3_t(mul_t(u1,n3_t(u1))) + -10.457736015319824 * mul_t(u1,u1) + 2.5539209842681885 * u1 + 2.5539209842681885 * u1 + 2.5539209842681885 * u1 + 0.08835586905479431 * x1","add_t,sub_t,add_t,sub_t,add_t,u1,n3_t,mul_t,u1,n3_t,u1,mul_t,u1,u1,u1,u1,add_t,u1,x1",0.0015794131,False
