complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,success
3,0.46045219189188463,75,0,1.1499536037445068 * u1 + 0.02967807836830616 * x1,"sub_t,u1,x1",1.0218649,False
4,0.49875836771729926,17,0,"0.8670564293861389 * div_t(x1,x1)","div_t,x1,x1",0.7542369,False
6,0.5302043360342045,98,0,"0.2686380445957184 * n2_t(diff_t(u1,x1))","n2_t,diff_t,u1,x1",0.5861504,False
7,0.9413654308598114,1,0,"-10.028488159179688 * mul_t(u1,u1) + 0.08799729496240616 * x1 + 9.969715118408203 * u1","sub_t,mul_t,u1,u1,add_t,x1,u1",0.0026187943,False
12,0.9504310451447373,1,0,0.09020168334245682 * x1 + -11.826068878173828 * n2_t(u1) + 1.2731060981750488 * n3_t(u1) + 10.530349731445312 * u1,"sub_t,sub_t,sub_t,x1,n2_t,u1,n3_t,u1,u1",0.0017235557,False
14,0.9527635747564187,1,0,0.08913054317235947 * x1 + 10.33292007446289 * u1 + 0.41334810853004456 * n2_t(n3_t(u1)) + -10.752995491027832 * n2_t(u1),"sub_t,x1,sub_t,add_t,u1,n2_t,n3_t,u1,n2_t,u1",0.001544037,False
17,0.9542029289228278,1,0,"0.08812268078327179 * x1 + -10.020086288452148 * n2_t(u1) + 0.004715622868388891 * diff2_t(u1,x1) + 3.3281056880950928 * u1 + 3.3281056880950928 * u1 + 3.3281056880950928 * u1","sub_t,sub_t,sub_t,x1,n2_t,u1,diff2_t,u1,x1,add_t,u1,sub_t,u1,u1",0.0013042148,False
18,0.9553890913725643,1,0,"0.08854711800813675 * x1 + 0.004129773937165737 * diff2_t(u1,x1) + 10.09441089630127 * u1 + -10.379942893981934 * n2_t(u1) + 0.25412294268608093 * n3_t(u1)","add_t,x1,sub_t,add_t,sub_t,diff2_t,u1,x1,u1,n2_t,u1,n3_t,u1",0.0012888354,False
23,0.9589400868401127,1,0,"0.08753681182861328 * x1 + 5.106207847595215 * u1 + 0.011918733827769756 * n2_t(diff_t(u1,x1)) + -11.414657592773438 * n2_t(u1) + 0.14843590557575226 * n3_t(add_t(u1,u1)) + 5.106207847595215 * u1","sub_t,add_t,x1,u1,add_t,sub_t,n2_t,diff_t,u1,x1,n2_t,u1,sub_t,n3_t,add_t,u1,u1,u1",0.0010022295,False
