r,count_on_policy,count_off_policy,expression,traversal,nmse_test,success
0.9763672479312174,1,0,"0.08916182816028595 * x1 + -10.005926132202148 * n2_t(u1) + 9.97148323059082 * u1 + 0.004684914369136095 * diff2_t(u1,x1)","sub_t,add_t,x1,n2_t,u1,sub_t,u1,diff2_t,u1,x1",0.00030284247,True
0.9763672461484397,1,0,"0.004684914369136095 * diff2_t(u1,x1) + -10.005926132202148 * n2_t(u1) + 0.08916182816028595 * x1 + 9.97148323059082 * u1","sub_t,diff2_t,u1,x1,add_t,add_t,n2_t,u1,x1,u1",0.0003028425,True
0.976367244365662,1,0,"0.08916182816028595 * x1 + 9.97148323059082 * u1 + 0.004684914369136095 * diff2_t(u1,x1) + -2.501481533050537 * n2_t(add_t(u1,u1))","add_t,x1,sub_t,u1,add_t,diff2_t,u1,x1,n2_t,add_t,u1,u1",0.00030284256,True
0.976367244365662,1,0,"0.08916182816028595 * x1 + 9.97148323059082 * u1 + 0.004684914369136095 * diff2_t(u1,x1) + -10.005926132202148 * n2_t(u1)","sub_t,add_t,x1,u1,add_t,diff2_t,u1,x1,n2_t,u1",0.00030284256,True
0.976367244365662,1,0,"0.08916182816028595 * x1 + 0.004684914369136095 * diff2_t(u1,x1) + 9.97148323059082 * u1 + -10.005926132202148 * n2_t(u1)","sub_t,add_t,add_t,x1,diff2_t,u1,x1,u1,n2_t,u1",0.00030284256,True
0.9760224646486483,1,0,"-0.14690367877483368 * n2_t(n2_t(u1)) + 0.08888481557369232 * x1 + 0.005385081749409437 * diff2_t(u1,x1) + -9.768566131591797 * n2_t(u1) + 9.8753080368042 * u1","add_t,sub_t,sub_t,n2_t,n2_t,u1,x1,diff2_t,u1,x1,add_t,n2_t,u1,u1",0.00028316578,True
0.975414314487854,1,0,"-0.00759211415424943 * n3_t(n2_t(n3_t(u1))) + 0.08916794508695602 * x1 + 0.004765280522406101 * diff2_t(u1,x1) + 9.96472454071045 * u1 + -9.993969917297363 * n2_t(sub_t(add_t(u1,u1),u1))","add_t,n3_t,n2_t,n3_t,u1,add_t,add_t,add_t,x1,diff2_t,u1,x1,u1,n2_t,sub_t,add_t,u1,u1,u1",0.00030198132,True
0.9753871857151781,1,0,"0.08916084468364716 * x1 + 0.004684942774474621 * diff2_t(u1,x1) + 9.971484184265137 * u1 + -2511.292724609375 * n2_t(u1) + 277.9207458496094 * n2_t(add_t(add_t(u1,u1),u1))","sub_t,add_t,sub_t,x1,diff2_t,u1,x1,sub_t,u1,n2_t,u1,n2_t,add_t,add_t,u1,u1,u1",0.00030283534,True
0.9753869577486922,1,0,"0.004684914369136095 * diff2_t(u1,x1) + 0.08916182816028595 * x1 + 4.98574161529541 * u1 + -2.501481533050537 * n2_t(add_t(u1,u1)) + 4.98574161529541 * u1","add_t,add_t,sub_t,diff2_t,u1,x1,x1,add_t,u1,n2_t,add_t,u1,u1,u1",0.00030284253,True
0.9753869559677045,1,0,"0.0023424571845680475 * diff2_t(u1,x1) + -10.005926132202148 * n2_t(u1) + 0.0023424571845680475 * diff2_t(u1,x1) + 0.08916182816028595 * x1 + 9.97148323059082 * u1","sub_t,sub_t,diff2_t,u1,x1,add_t,n2_t,u1,diff2_t,u1,x1,add_t,x1,u1",0.00030284259,True
0.9753143266899655,1,0,"0.09051758050918579 * x1 + 0.005615591537207365 * diff2_t(u1,x1) + -0.3355660140514374 * n3_t(u1) + -9.53134822845459 * n2_t(u1) + -0.004247952718287706 * n2_t(add_t(u1,x1)) + 9.831818580627441 * u1","sub_t,sub_t,sub_t,add_t,x1,diff2_t,u1,x1,add_t,n3_t,u1,n2_t,u1,n2_t,add_t,u1,x1,u1",0.00027492174,True
0.9751823493897545,1,0,"0.08868546783924103 * x1 + -9.53654670715332 * mul_t(u1,u1) + 4.914031505584717 * u1 + 0.005527681205421686 * diff2_t(u1,x1) + -0.04140940308570862 * n3_t(add_t(u1,u1)) + 4.914031505584717 * u1","add_t,sub_t,x1,add_t,sub_t,add_t,mul_t,u1,u1,u1,diff2_t,u1,x1,n3_t,add_t,u1,u1,u1",0.0002788945,True
0.9747730335655862,1,0,"0.08905511349439621 * x1 + 0.0051444172859191895 * diff2_t(u1,x1) + -9.90021800994873 * n2_t(u1) + -0.05996066331863403 * n3_t(n2_t(u1)) + 4.960190296173096 * u1 + 4.960190296173096 * u1","sub_t,x1,sub_t,diff2_t,u1,x1,sub_t,add_t,sub_t,n2_t,u1,n3_t,n2_t,u1,u1,u1",0.00029140385,True
0.9746917303914187,1,0,"2.2206519133760594e-05 * diff3_t(n3_t(u1),x1) + 0.004682461731135845 * diff2_t(u1,x1) + -2.501459836959839 * n2_t(add_t(u1,u1)) + 0.0445735827088356 * x1 + 0.0445735827088356 * x1 + 9.971384048461914 * u1","add_t,add_t,add_t,diff3_t,n3_t,u1,x1,diff2_t,u1,x1,sub_t,add_t,n2_t,add_t,u1,u1,x1,x1,u1",0.00029392255,True
0.9745492626714644,1,0,"2.4135628336807713e-05 * diff3_t(u1,x1) + 4.985627174377441 * u1 + -10.005664825439453 * n2_t(u1) + 0.004685285501182079 * diff2_t(u1,x1) + 4.985627174377441 * u1 + 0.08894504606723785 * x1","sub_t,sub_t,add_t,diff3_t,u1,x1,u1,add_t,n2_t,u1,diff2_t,u1,x1,add_t,u1,x1",0.00029836327,True
0.9745126321007067,1,0,"-0.00020690119708888233 * n3_t(diff_t(u1,x1)) + 4.985508441925049 * u1 + 0.004683061968535185 * diff2_t(u1,x1) + -10.005449295043945 * n2_t(u1) + 4.985508441925049 * u1 + 0.08742494136095047 * x1","add_t,n3_t,diff_t,u1,x1,add_t,add_t,u1,add_t,diff2_t,u1,x1,add_t,n2_t,u1,u1,x1",0.00029951058,True
0.9744076158831029,1,0,"0.08916640281677246 * x1 + 0.004694334696978331 * diff2_t(u1,x1) + -0.0005210490198805928 * n2_t(x1) + 4.986083030700684 * u1 + 4.986083030700684 * u1 + -10.006552696228027 * n2_t(u1)","add_t,x1,add_t,diff2_t,u1,x1,sub_t,sub_t,add_t,n2_t,x1,u1,u1,n2_t,u1",0.00030281264,True
0.9744066711281426,1,0,"-10.005926132202148 * mul_t(u1,u1) + 3.3238277435302734 * u1 + 0.004684914369136095 * diff2_t(u1,x1) + 3.3238277435302734 * u1 + 3.3238277435302734 * u1 + 0.08916182816028595 * x1","add_t,sub_t,add_t,add_t,mul_t,u1,u1,u1,diff2_t,u1,x1,u1,add_t,u1,x1",0.00030284247,True
0.9744066693489448,1,0,"0.004684914369136095 * diff2_t(u1,x1) + 0.08916182816028595 * x1 + 4.98574161529541 * u1 + -5.002963066101074 * n2_t(u1) + 4.98574161529541 * u1 + -5.002963066101074 * n2_t(u1)","add_t,diff2_t,u1,x1,add_t,x1,sub_t,u1,add_t,n2_t,u1,add_t,u1,n2_t,u1",0.00030284253,True
0.9744066693489448,1,0,"0.044580914080142975 * x1 + 0.044580914080142975 * x1 + 0.004684914369136095 * diff2_t(u1,x1) + 4.98574161529541 * u1 + -10.005926132202148 * n2_t(u1) + 4.98574161529541 * u1","sub_t,add_t,add_t,add_t,add_t,x1,x1,diff2_t,u1,x1,u1,n2_t,u1,u1",0.0003028425,True
0.9740606086686248,1,0,"-9.768566131591797 * n2_t(u1) + 3.29176926612854 * u1 + 3.29176926612854 * u1 + -0.14690367877483368 * n2_t(n2_t(u1)) + 0.005385081749409437 * diff2_t(u1,x1) + 0.08888481557369232 * x1 + 3.29176926612854 * u1","add_t,sub_t,sub_t,add_t,n2_t,u1,u1,u1,n2_t,n2_t,u1,add_t,add_t,diff2_t,u1,x1,x1,u1",0.00028316583,True
