complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,success
3,0.46040845985197776,57,0,1.1411058902740479 * u1 + 0.03938964381814003 * x1,"add_t,u1,x1",1.0166478,False
4,0.4987447727351584,24,0,"0.8625232577323914 * div_t(x1,x1)","div_t,x1,x1",0.750203,False
6,0.5240980374136789,8,0,"-1.1760947704315186 * mul_t(diff_t(u1,x1),x1)","mul_t,diff_t,u1,x1,x1",0.6122589,False
7,0.954547209491416,2,0,-10.020816802978516 * n2_t(u1) + 0.08819732069969177 * x1 + 9.962576866149902 * u1,"sub_t,n2_t,u1,add_t,x1,u1",0.0014749249,False
11,0.9556370647235295,1,0,0.03364913538098335 * n2_t(x1) + -9.980278968811035 * n2_t(u1) + 9.921201705932617 * u1 + 0.08798589557409286 * x1,"sub_t,n2_t,x1,add_t,add_t,n2_t,u1,u1,x1",0.0013302455,False
12,0.9638847198526284,1,0,0.08993411809206009 * x1 + 10.443598747253418 * u1 + 1.093947410583496 * n3_t(u1) + -11.564844131469727 * n2_t(u1),"sub_t,add_t,x1,sub_t,u1,n3_t,u1,n2_t,u1",0.0008278002,False
13,0.9793826284398499,1,0,"9.977824211120605 * u1 + 0.0887691006064415 * x1 + 0.004603560548275709 * diff2_t(u1,x1) + -10.013505935668945 * mul_t(u1,u1)","add_t,u1,add_t,sub_t,x1,diff2_t,u1,x1,mul_t,u1,u1",0.00021467038,True
