r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
9.601416587829589844e-01,9.601416587829589844e-01,4.687051177024841309e-01,9.524517655372619629e-01,8.616340637207031250e+00,1.750000000000000000e+01,0.000000000000000000e+00,8.390000000000000000e+02,1.000000000000000000e+01,8.390000000000000000e+02,1.000000000000000000e+01,1.559473723173141479e-01,1.069223657250404358e-01,4.370000064373016357e-01,0.000000000000000000e+00,9.400196075439453125e-01,1.336056804656982422e+01
9.611169099807739258e-01,9.611169099807739258e-01,4.740216434001922607e-01,9.557595849037170410e-01,8.564373970031738281e+00,1.410000038146972656e+01,0.000000000000000000e+00,8.360000000000000000e+02,1.000000000000000000e+01,7.730000000000000000e+02,1.000000000000000000e+01,1.581762880086898804e-01,1.038042530417442322e-01,4.329999983310699463e-01,0.000000000000000000e+00,9.507745504379272461e-01,2.608415985107421875e+01
9.611169099807739258e-01,9.611169099807739258e-01,4.611533582210540771e-01,9.563831090927124023e-01,8.376288414001464844e+00,1.339999961853027344e+01,0.000000000000000000e+00,8.330000000000000000e+02,1.000000000000000000e+01,7.520000000000000000e+02,1.000000000000000000e+01,1.598743945360183716e-01,1.115326732397079468e-01,4.180000126361846924e-01,0.000000000000000000e+00,9.504429697990417480e-01,3.791018676757812500e+01
9.611169099807739258e-01,9.604380130767822266e-01,4.707215428352355957e-01,9.569413065910339355e-01,8.858863830566406250e+00,1.450000000000000000e+01,0.000000000000000000e+00,8.410000000000000000e+02,1.000000000000000000e+01,7.500000000000000000e+02,1.000000000000000000e+01,1.596093028783798218e-01,1.150238215923309326e-01,4.189999997615814209e-01,0.000000000000000000e+00,9.544823765754699707e-01,4.961441040039062500e+01
9.617366194725036621e-01,9.617366194725036621e-01,4.615511596202850342e-01,9.519459605216979980e-01,8.732394218444824219e+00,1.779999923706054688e+01,0.000000000000000000e+00,8.370000000000000000e+02,1.000000000000000000e+01,7.300000000000000000e+02,1.000000000000000000e+01,1.626241505146026611e-01,1.030379310250282288e-01,4.320000112056732178e-01,0.000000000000000000e+00,9.372686147689819336e-01,6.103009796142578125e+01
9.627032279968261719e-01,9.627032279968261719e-01,4.615001678466796875e-01,9.592003226280212402e-01,8.550273895263671875e+00,1.560000038146972656e+01,0.000000000000000000e+00,8.320000000000000000e+02,1.000000000000000000e+01,7.190000000000000000e+02,1.000000000000000000e+01,1.628016829490661621e-01,1.065338179469108582e-01,4.530000090599060059e-01,0.000000000000000000e+00,9.546097517013549805e-01,7.246376037597656250e+01
9.763672351837158203e-01,9.763672351837158203e-01,4.718739390373229980e-01,9.633105993270874023e-01,8.522281646728515625e+00,1.539999961853027344e+01,0.000000000000000000e+00,8.420000000000000000e+02,1.000000000000000000e+01,7.180000000000000000e+02,1.000000000000000000e+01,1.637685447931289673e-01,1.055040657520294189e-01,4.390000104904174805e-01,0.000000000000000000e+00,9.517329931259155273e-01,8.371870422363281250e+01
9.763672351837158203e-01,9.626364111900329590e-01,4.701226055622100830e-01,9.587149620056152344e-01,8.802065849304199219e+00,1.539999961853027344e+01,0.000000000000000000e+00,8.290000000000000000e+02,1.000000000000000000e+01,7.060000000000000000e+02,1.000000000000000000e+01,1.643713265657424927e-01,1.162278801202774048e-01,4.189999997615814209e-01,0.000000000000000000e+00,9.546083211898803711e-01,9.494369506835937500e+01
9.763672351837158203e-01,9.617366194725036621e-01,4.687224924564361572e-01,9.549199938774108887e-01,8.587813377380371094e+00,1.580000019073486328e+01,0.000000000000000000e+00,8.250000000000000000e+02,1.000000000000000000e+01,7.020000000000000000e+02,1.000000000000000000e+01,1.666904240846633911e-01,1.072203367948532104e-01,4.420000016689300537e-01,0.000000000000000000e+00,9.508761167526245117e-01,1.058861389160156250e+02
9.763672351837158203e-01,9.763672351837158203e-01,4.615067839622497559e-01,9.596361517906188965e-01,8.390110015869140625e+00,1.489999961853027344e+01,0.000000000000000000e+00,8.500000000000000000e+02,1.000000000000000000e+01,7.180000000000000000e+02,1.000000000000000000e+01,1.699875295162200928e-01,1.166499406099319458e-01,4.539999961853027344e-01,0.000000000000000000e+00,9.546690583229064941e-01,1.167127761840820312e+02
