complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,success
3,0.0,30,0,0 * u1,"add,u1,x1",,False
5,0.4697537523034473,3,0,"6.873622469688722 * mul(u1,n2(x1))","mul,u1,n2,x1",0.9572873743326467,False
6,0.5180639418391733,10,0,"-1.0631704153345325 * mul(diff(u1,x1),x1)","mul,diff,u1,x1,x1",0.6476860211472691,False
8,0.5433406310477102,1,0,"-0.8985851450528134 * mul(x1,diff(u1,x1)) + 0.6743833885623554 * u1","sub,mul,x1,diff,u1,x1,u1",0.5040877384275141,False
13,0.8884467398029314,1,0,"-10.337596367447036 * n2(u1) + 5.14384586091168 * u1 + 0.006554335594178308 * diff2(u1,x1) + 5.143845860911687 * u1","add,n2,u1,add,add,u1,diff2,u1,x1,u1",0.005062452838986676,False
15,0.9190164276208158,1,0,"0.01617946998587173 * diff2(n2(mul(u1,x1)),x1) + -10.351735793970539 * n2(u1) + 10.283445364216348 * u1","sub,sub,diff2,n2,mul,u1,x1,x1,n2,u1,u1",0.0024020326720557714,False
20,0.9591738117992393,1,0,"0.01997468679663578 * mul(u1,diff2(u1,x1)) + 0.019901269945158034 * n2(diff(u1,x1)) + 9.997494710082542 * u1 + -9.997149879615375 * n2(u1)","add,mul,u1,diff2,u1,x1,add,n2,diff,u1,x1,add,u1,n2,u1",5.790662916878495e-07,True
